,district,fiyat,,update_date,m2_brut,bina_yasi,kat_sayisi,kullanim_durumu,banyo_sayisi,creation_date,Type,m2_net,oda_sayisi,bulundugu_kat,isitma_tip,site
60,arnavutkoy,"570,000TL",,26 Şubat 2022,105 m2,0 (Yeni),4,Boş,1,26 Şubat 2022,Konut,90 m2,2+1,Yüksek Giriş,Kombi Doğalgaz,Hayır
61,arnavutkoy,"8,500,000TL",,25 Şubat 2022,600 m2,10-May,4,Mülk Sahibi Oturuyor,4,25 Şubat 2022,Konut,560 m2,8+ Oda,Düz Giriş,Kombi Doğalgaz,Hayır
62,arnavutkoy,"1,150,000TL",,28 Şubat 2022,303 m2,15-Nov,1,Boş,1,24 Şubat 2022,Konut,300 m2,3+1,Müstakil,Kombi Doğalgaz,Hayır
63,arnavutkoy,"1,990,000TL",,23 Şubat 2022,194 m2,16-20,5,Boş,1,23 Şubat 2022,Konut,170 m2,4+1,Müstakil,Kombi Doğalgaz,Hayır
64,arnavutkoy,"395,000TL",,28 Şubat 2022,95 m2,4,4,Kiracı Oturuyor,1,23 Şubat 2022,Konut,85 m2,2+1,Bahçe Katı,Kombi Doğalgaz,Hayır
65,arnavutkoy,"995,000TL",,22 Şubat 2022,185 m2,3,3,Mülk Sahibi Oturuyor,2,22 Şubat 2022,Konut,170 m2,4+2,3. Kat,Kombi Doğalgaz,Hayır
66,arnavutkoy,"835,000TL",,28 Şubat 2022,210 m2,0 (Yeni),4,Boş,2,22 Şubat 2022,Konut,180 m2,4+2,Çatı Dubleks,Kombi Doğalgaz,Hayır
67,arnavutkoy,"645,000TL",,28 Şubat 2022,125 m2,10-May,4,Kiracı Oturuyor,1,22 Şubat 2022,Konut,110 m2,2+1,2. Kat,Kombi Doğalgaz,Hayır
68,arnavutkoy,"450,000TL",,03 Mart 2022,100 m2,0 (Yeni),5,Boş,1,21 Şubat 2022,Konut,95 m2,2+1,5. Kat,Merkezi Doğalgaz,Hayır
69,arnavutkoy,"995,000TL",,20 Şubat 2022,200 m2,0 (Yeni),4,Mülk Sahibi Oturuyor,3,20 Şubat 2022,Konut,180 m2,4+2,4. Kat,Kombi Doğalgaz,Hayır
